Window Sizes,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance
40,354.96149027724823,0.009667233789347139,2768.281703224041,18241.851544201752,7.557437768941663,162634.43267607168,0.0011879175752613725,0.0001586027908149643,19511.961599215643,0.5314004466260592,0.7571498413794052,13366.578570793785,0.00011672426742982026,8.460111135564851,0.57371875,4.5193388303955775
40,338.98874378449267,0.009261481443213284,2937.260018269645,17332.598355281134,7.8736134637451505,168662.6661931042,0.0013037326820866274,0.00017856311058601793,19482.06557018742,0.5322677878309224,0.7577067552316039,12705.9362722281,0.00013123059229787557,8.488669790453708,0.57190625,4.816227167934027
40,483.2493418793636,0.013827668017607979,2317.2718575660715,22199.869577658235,8.755923085727366,245659.13033649995,0.000604448243897699,0.00011559363854425719,17735.867517454502,0.5074930616188195,0.7404325940796198,15636.309352995715,8.828197831150802e-05,8.259757931989474,0.5460625,5.402291943573216
40,472.9688177422044,0.013144595012567518,2148.9168136677977,21772.68923350564,7.972486243121561,217239.3988938914,0.0005607159480715685,0.00010663087071249839,18687.097104107608,0.5193457035214165,0.748784433135149,15563.601267032325,8.198157147773249e-05,8.262412090622353,0.56221875,4.808829550182301
40,424.5256001525927,0.011567770243129043,2245.2294693715316,20639.3414534456,7.772146380010354,205859.92378538926,0.0005913507565652478,0.00011233401711737502,19458.606583285648,0.5302217113078189,0.7563512583194091,14918.007974729613,8.666872549102154e-05,8.323980599672216,0.573421875,4.730900825895003
40,506.94758843370715,0.014614915917597577,2038.8900512036284,23462.66869432352,9.24819096491481,267355.89442730707,0.0005106532036808478,9.264364919615101e-05,17538.031798656557,0.5056082047642216,0.7390792693327664,16551.73661989011,7.193729897304662e-05,8.23557974311117,0.541984375,5.844097891881435
40,580.3075277761274,0.0172392468592516,1792.4562800108263,24978.855801794307,10.028281147881884,297758.2171588141,0.0004924550963901115,8.170204616622415e-05,16633.929950686233,0.4941456226809528,0.7308287894832436,17506.458040516292,6.301382455477735e-05,8.106793849127612,0.52596875,6.4137305159298235
40,474.63106687853696,0.013231609569806723,2103.391775964984,22222.541718937304,8.31501770232221,230286.68305873824,0.0005486717834162124,9.822145835016179e-05,18676.506453681246,0.5206575354375749,0.74970835666871,15945.536372164923,7.538179305661674e-05,8.24570419636832,0.560484375,5.131751340257919
40,431.1244964189794,0.012061450772688546,2374.483598638882,21160.589497538047,7.946284691136974,205876.79353178156,0.0007232968106584426,0.00011817731850337872,18496.425218218443,0.517469371592951,0.747470008805211,15117.976374888734,8.943986183828547e-05,8.348482660891564,0.5585,4.7404472644172255
40,347.110089311743,0.009199111899709619,2664.3463659218887,17943.456576471523,6.787215434765325,140496.74295709326,0.0010516582182883182,0.00014896646019548076,20608.626639811308,0.5461698417780538,0.7671617405097716,13356.84229085196,0.00011102377293959111,8.434666547902664,0.589578125,3.9103650467555022
40,356.98416053511704,0.009551415666491427,2666.1501734611475,18421.084735785953,6.963638795986622,153625.94185953177,0.0009823661201249475,0.0001466028803437167,20155.21281605351,0.5392699081218331,0.762494728612244,13549.177593382388,0.0001095019874577447,8.433551991769697,0.583984375,4.03141208711312
40,397.4633144513947,0.01067044254748838,2532.626826115522,19715.241295068325,6.958307605573304,172265.58667346774,0.0007595905961807208,0.00013555606996051438,19939.706059223066,0.5353084930930513,0.7598127479767882,14321.70794509094,0.0001029791784678309,8.368626480167137,0.582015625,4.006210003973937
40,428.4347196018921,0.011714508506326856,2393.049678520867,20241.404752139555,7.632132994285402,191669.16736390232,0.0007309375457633793,0.00012474442494272276,19403.781888278238,0.5305493639646253,0.756487525225584,14662.112505562349,9.532060969106679e-05,8.314379641202603,0.571453125,4.56989616091712
40,452.13800998593143,0.012472428622270597,2122.0110527502798,21320.857438415493,8.539792005737773,228204.08465973352,0.000609347071464313,0.00010372345281844462,19150.586328653004,0.5282774634810903,0.7549373501148304,15383.119222772628,8.043685868567113e-05,8.270676931977372,0.566421875,5.422912844248946
40,505.4774729282388,0.014180482324194546,1950.196311178539,23096.191017224934,8.330864613140324,233748.35384054313,0.0004897656126346247,9.104598819199346e-05,18432.691017224934,0.5171040514286297,0.7471877603195055,16487.938430941365,7.124399554440571e-05,8.216968933182551,0.55696875,5.107466297178274
40,518.9976348687916,0.014613065516071392,1962.7956781756784,23171.252759319745,7.993017231670233,222530.0389965086,0.000500374364082985,9.312759961025594e-05,18209.830667868002,0.5127218906371214,0.7441307293602148,16496.11847304285,7.213498660415589e-05,8.200250840231798,0.5549375,4.745979043397372
40,400.767548348866,0.010794794708529495,2511.7130394136548,19362.74731993751,6.896083607175564,161425.44181974896,0.000827022381175983,0.00013487372525547995,19726.754888757205,0.5313460886914078,0.757120465567972,14132.675527709162,0.00010085677602016977,8.367504290485716,0.58009375,3.9243927555064073
40,461.30179057116953,0.013069520358430687,2195.1916676804135,21946.525271985494,8.473934723481415,227949.73892225747,0.000623264643570775,0.0001020394072881059,18096.398203762466,0.5127039382298976,0.7441105182428699,15622.620058587107,7.767687520914542e-05,8.290332665134981,0.5515,5.1862008067417
